id,scores
990131,-2.787277519
990132,1.611670766
990133,1.163875257
990134,1.043153707
990135,1.302774065
990136,1.533979528
990137,3.768213798
990138,3.684228128
990139,0.631371457
990140,-0.496060892
990141,4.234760425
990142,-5.905611458
990143,4.891415071
990144,-0.081162553
990145,1.441083351
990146,1.556774542
990147,-2.197336874
990148,0.845030515
990149,2.033220999
990150,-1.799939752
990151,4.909193752
990152,-5.838097278
990153,-5.827462544
990154,2.873419132
990155,1.40812584
990156,1.712129954
990158,-0.037911214
990159,-2.298128561
990161,1.498490878
990162,4.218540784
990163,4.191986613
990164,1.006289044
990165,1.472132623
990166,1.962775908
990167,-1.799207873
990168,2.645084623
990169,-0.243492612
990170,-0.063869838
990171,2.437231885
990172,3.069801791
990173,3.079591679
990174,3.273436662
990175,4.151221972
990177,2.908305522
990178,1.726579017
990180,-1.014595798
990182,1.20308819
990183,1.020635345
990184,2.135268053
990185,2.512823375
990186,-3.408900938
990187,-0.571757093
990188,2.796832
990189,2.693786946
990191,2.003649101
990192,-0.540443914
990193,3.98707014
990194,-4.95362067
990195,-3.425859218
990196,-5.07374909
990197,2.354966442
990198,2.44829771
990199,-1.906696235
990200,2.97410831
990201,0.953601804
990202,1.026976545
990203,1.283687814
990205,-0.76310282
990206,-1.297899355
990207,1.444574368
990208,1.240843167
990209,2.533490083
990210,1.030399371
990211,0.431848107
990212,0.475762364
990213,4.036779282
990214,1.754270044
990215,5.562340387
990216,1.422463526
990217,-4.976716512
990218,3.745013454
990219,-1.255222184
990220,-0.970944911
990221,-4.090341001
990222,1.973429484
990223,1.238470857
990224,3.649213865
990225,3.807569549
990226,-0.953707325
990227,0.351459573
990228,-0.032568599
990229,3.998505956
990230,1.281830591
990231,0.976011358
990232,1.031043057
990233,1.050706906
990234,2.413958321
990235,2.492139162
990236,1.369937948
990237,2.933903253
990238,-2.435433566
990239,0.967848471
990240,-4.569094354
990241,3.533559786
990242,1.214027588
990244,-1.554516714
990246,1.16054632
990247,3.705349756
990248,3.700856069
990249,2.191695343
990250,4.071125466
990252,0.969633863
990253,1.754708384
990254,3.91952436
990255,1.524267228
990256,3.882384855
990257,1.982084374
990258,0.69935154
990259,-0.850232925
990260,0.944469243
990261,3.831890538
990262,-5.996320028
990263,-1.345818544
990264,1.062605453
990265,1.436569726
990267,5.503882805
990268,-5.989918131
990269,1.913317131
990270,0.610369952
990271,-5.995542127
990272,1.483917383
990273,1.289677409
990275,1.681412761
990276,1.585909139
990277,-3.342579389
990278,-2.450598506
990279,1.906205091
990280,1.206260168
990281,1.475381663
990282,2.365820654
990283,-1.801076963
990284,2.107722359
990285,0.867202545
990286,1.773065196
990287,-5.017376887
990288,0.151985735
990289,1.463752153
990290,1.304115899
990291,0.008260146
990292,0.952324092
990293,3.360567442
990294,-5.986178363
990295,-5.971607062
990296,1.721108461
990297,3.109244619
990299,2.565356079
990300,0.274476948
990302,1.768456698
990303,0.81571145
990304,1.943169564
990305,2.236068971
990306,2.413039558
990307,-5.962712414
990309,2.233108271
990310,-5.991398249
990311,-5.99155825
990312,2.459449235
990313,4.144841369
990314,2.00839778
990315,0.910893078
990316,-2.127704919
990317,-2.163286131
990318,1.337083894
990319,1.065243946
990320,1.715987548
990321,-1.844109952
990322,-1.638212677
990323,2.18411046
990324,2.542056727
990325,0.472649108
990326,1.893137762
990327,-5.983571595
990328,-5.990564471
990329,4.149192115
990330,0.944480833
990331,1.978429541
990332,0.596258364
990333,1.846210741
990334,1.779673229
990335,-5.994240103
990336,3.146979065
990337,1.492043178
990338,1.352932372
990339,-1.014857907
990340,1.495135511
990341,-2.962714138
990342,0.076552008
990343,-2.526959786
990344,2.007243423
990345,2.197458921
990346,2.443283804
990347,1.111979202
990348,1.124608505
990349,2.300424047
990350,2.016513319
990351,2.13947837
990352,-5.964843639
